ReviewerID	ProductID	Name	Review	Rating	Summary	Date
A2I6MHMAZZDCRX	B000HAB4NK	Mark Baker	In the aftermath of season 4, Jack Bauer (Kiefer Sutherland) had to fake his own death and go into hiding.  But he can't seem to stay in retirement for long.  Someone knows Jack is alive and targets his friends, forcing Jack to come out of hiding to face down terrorists yet again.Meanwhile, it is an important day for the United States and President Logan (Gregory Itzin).  He has been working hard to iron out an anti-terrorism treaty with Russia, and that treaty will be signed that day.  But the treat of terrorists in Los Angeles with stolen nerve gas just might be enough to derail the treaty.Season 5 won an Emmy for best drama, and it was well deserved.  Even after five years, this show is gripping drama with excellent writing and acting.  I am glued to my seat every week, breathing only during commercial breaks.  This season the threat and storytelling seemed more focused then previous years, adding to the drama.There were a couple flaws this season.  I sure don't remember the explanation of who knew Jack...	5	A Little Wear but Still Strong Fifth Season,	12-05-2006
A36EKEC9C4P2QH	B000HAB4NK	Pania Kiranos Ladydragon	Season Five was the winner!  Of course, Kiefer and the regular cast absolutely rock, it was fantastic to see as much of Agent Pierce as we did this season, and Gregory Itzen and Jean Smart...... well, what can I say about them other than === shoulda won the Emmys!!!,	5	Go JACK!,	07-07-2007
A32ROCXVVJRKSM	B000HAB4NK	Steve Lawrence	By now I've gotten into 24 pretty deep. I like the intensity of this real time format. I really enjoy watching Jack save the world.,	5	24 Season 5,	02-10-2013
A2U5WUR3YCVOLI	B000HAB4NK	St Johns	I enjoyed nearly all the seasons of 24 and this is probably my third year I have watched them.  So excited they are bringing the show back though it may be somewhat different.  I enjoy dramas such as &#34;24&#34; and &#34;Covert Affair&#34;.  Good luck to the 24 actors and crew and hope the new show will do well.,	4	24,	02-01-2014
A10KVORU2FMSOG	B000HKWE3O	MICKEYY	It was  Good and funny I enjoy it it is worth watching a family movie Just enjoy  very light  Enjoy,	4	Very Good,	02-10-2014
A2PI7R368PGMVD	B000HKWE3O	Rosalee Waight	As usual, MacGyver is as exciting as ever.,	5	Five Stars,	07-04-2014
A2YODUWYK547ID	B000HKWE3O	Wayne A. Seavolt	James Bond minus the adult stuff.  Great show that shows the mind is still the best weapon.  Sure there is some liberal stuff thrown in but it is family friendly.  And who can't resist the MacGyverisms as you think could that work.  Maybe not but it will make the kids think and want to experiment.  Good stuff for the whole family.,	5	MacGyverism,	02-12-2014
A3AP3CDXP7HF6Y	B000HZEHL6	Amy S. Hayley	What happened with Tony and the plague he was dying from.  HELP!  It's killing me to know!!!!!!!!!!,	5	Question about season 2,	03-11-2007
AB0GGIQBNB36Q	B000HZEHL6	Ben Milton	Season three opens, with Gibbs going after Kate's killer, Ari. And to try to throw alot at us, NCIS gets a new director, Jenny Shepard played by Lauren Holly. Now Shepard and Gibbs do have some history, since both were partners at NCIS at one time, also. To proclaim Ari's innocence, is Massade officer Ziva David. And I'm sorry, I didn't like her then. And I don't liker her now, She and pretty much all of Massad is built up like they are the only agents that are extremely tough, they're unstoppable. So Ziva and Jenny try to convince Gibbs that he's wrong, and Gibbs even makes the only logical argument against Ari's innocence. That if he were innocent, he would turn himself in. So, after much arguing, he gets Ziva to follow him. And Ziva kills Ari in Gibb's basement, And we get each persons view of how they saw Kate in this episode. Now, I would have inserted Paula Cassidy to the team after this. Since there was some obvious chemistry between her and tony, but no. We get Ziva, and she is built up like I said...	4	Still a solid season,	09-07-2012
A1BLPBS90I0GRK	B000HZEHL6	D. C. Holbrook Dee	Love having the Instant View feature on Amazon.com. I have used this feature many times and will do again. Would highly recommend to friends and family.,	5	Great Episode of NCIS,	08-06-2012
APL6O92MS25MJ	B000HZEHL6	H. Jeanne Rockwell	This series has it all in the &#34;crime&#34; solving genre:  Great cast, humor, story lines and gadgetry to keep you coming back for more.  Especially enjoy the new addition replacing Kate's character.,	4	Good cast and good story lines,	08-04-2013
A2RD1DGD4B61ZT	B000HZEHL6	Kris	This said it was used but you couldn't tell. The box had just a little wear on the corners other then that it looked new. Would order from them again.,	5	Great,	01-09-2013
A317L56T9Q55C2	B000HZEHL6	William Webster disgusted	This serries is OK, but it really lacks the substance that Criminal Minds, MI-5, CSI or Alias has.  The list goes on. When is the second season of Bones and Criminal Minds coming out?,	3	It's good, but not great.,	03-11-2007
A1XYM0DQWWHQEK	B000I5PVD8	&#354;&#615;&#7709; &#354;&#7709;&#7689;&#615...	It is Doctor Who (Classic) Season 1 what else is there to say? If you are a true Doctor Who fan than you can not miss watching these classic, see all of its humble beginnings.Only thing we have seen that is a problem, is that there if several seasons missing, it would be nice to watch every Doctor Who up to date today.,	5	It is Doctor Who (Classic) Season 1 what else is there to say,	12-12-2013
A2B913IHK6DJXN	B000I5PVD8	dvdjhll	I used to watch this as a kid. We could only get it when the atmospheric conditions were just right and the tv antenna was turned to just the right direction to get the one station that played this at 10pm. They would show this as a double feature with Dark Shadows. It is fascinating to see how much has changed in how we treat each other and how tv is made.,	2	Not a full season and no the best episodes of the season,	05-11-2013
A1THRWHZHFQ5TC	B000I5PVD8	E. Chen	They've come a long way since the original Dr. Who. I still like the latest versions. If you are a Dr. Who fan, then these episodes give you a taste its origins... OK, but corny.,	3	OK for tradition sake,	07-05-2013
AUK6ECH59NWS7	B000I5PVD8	Eric Schneider	Same review as season 5.  Too old, short of nostalgia no real reason to watch.  Give each episode 5 min for future reference.,	3	50 year old Sci-fi is OLD!!,	12-02-2013
AUK6ECH59NWS7	B000I5Q0ZG	Eric Schneider	Season 12-16 are getting the same review.  Tom Baker (my dad's favorite) fits not only the role of the Doctor, but also time in Earth 'real time'.  The introduction of the sonic screwdriver, New companions which continue to defy the command 'stay here!!' Short episodes make this a great binge.  The cerebral side of the Doctor as well as 'the classic Dr.smile' grow into the story line.,	4	Tom Baker's tenure as our favorite time traveler,	12-02-2013
A1IDIJQ3VUMMP9	B000I5Q0ZG	Jeff SC	Compared to today the special effects are comical, but that justs adds to the fun of watching these old shows,	4	Good stuf,	06-03-2013
A2PI8HT5LKH9BQ	B000I5Q0ZG	watchman	Hi, it was great to get to watch these episodes (The Ark In Space) that I never saw before, especially on Prime.  But...most of the season's episodes are not available. If they had everything available including classics about the Daleks, Crinoids, etc. this series would be a home-run. Also, Tom Baker is my favorite childhood version of Dr. Who, which is another reason why I would love to see everything featuring him available on Amazon Instant Video.,	3	Good start but need whole season,	09-06-2013
A3K0E9JKGAHI5T	B000I5RENI	B. Kimball	The older Dr. Who series always has a theatre quality to it. Tom Baker is the Doctor I grew up with, so it feels good to stop by and see these episodes again. This one features Romana, one of the better companions I feel (though she was kind of forced on the Doctor).Generations today always want a female Time Lord (ok by me), and well, there you go. Romana is a Time &#34;Lady&#34;. She's as smart as the Doctor, but lacks the experience he has traveling the universe.  She also seems to usually be very calm in a tight situation against his silly antics some times. They make a good pair.So if you ever wanted to see what a female Time Lord (excuse me, Lady) might be like, check out these episodes.,	5	Good episodes,	03-08-2014
AF3L9HOKN1LHJ	B000I5RENI	Erica	It is great filling in some of the blanks of what happened to that character or how did the doc meet this character! it would be great if you would get more missing episodes .,	5	Well it's been great since the 1960's, so it's great.,	12-05-2013
AUK6ECH59NWS7	B000I62JFU	Eric Schneider	Everything has to start somewhere but as a viewer there is only so much nostalgia one can have for sci-fi.  Thus is a 50 year old season and it shows.  Campy at best.  If you want a good starting point for Dr. Who I suggest starting with Dr. #3 in app 1970.  This is also the start of color. That being said seeing Cybermen as an original 'bad guy' shows the connection to the past.,	3	Nostalgia is good but this is really too old,	12-02-2013
ABVYGB2TKBO8F	B000I8FOZA	J. Donaldson Cal-diver	Some are better than others but overall I enjoyed these. In many cases I was surprised at the enormity of effort, design, and equipment required to do these big jobs.,	4	Really enjoyed most of these episodes,	12-07-2012
ASCWWM8JQE0IE	B000I8FOZA	L. Crist tronicsjunkie	Love to see where men build and keep striving for better.  It's nice to live in a day when things naturally progress.,	4	Love these shows,	03-12-2014
A2EV34WFAYU8JO	B000I8FOZA	Lurch	Not the best show ever made but you do learn.  I would love more in depth info but I do understand there is only so much that a show can divulge.  But I will say you will learn a lot and some episodes are done very well others not so well.  But hey give it a shot you may have an engineer in you waiting to get out.,	4	Some good info you will get some cool info,	02-12-2014
A1B9B1YZYS3B0S	B000I8FOZA	Thanks I Needed That	The series is in the older square video version.  Made for the older TV types, but it's still a great series.  Inspirational and mind boggling.  Some of the amazing things they come up with are absolutely incredible.,	5	This whole series is awesome,	02-02-2014
A3S3KU23F9TAAP	B000I8H2ZU	Amazon Customer	These guys are great and they have a fantastic team. There have been a couple of knock-off shows that weren't even in the same galaxy as the Mythbusters. I would give 7 stars if I could!!,	5	What I want to be when i grow up! --I'm 65 by the way,	07-11-2013
A2LZDPPCDRUBG6	B000I8H2ZU	Bazajaytee Bazajaytee	I've been a Mythbusters fan for a long time and while I'm still not used to the US narrator (coming from the UK where it is narrated by a Brit) I made my way through all the Mythbusters series again on Amazon Prime.The show takes us through those things we always thought we knew about but often didn't. Watching the whole seasons through, it is obvious that while Adam and Jamie were younger in this season they were also a lot angrier at each other. Perhaps they learned each others quirks as the seasons progressed but it is interesting to go back to the early days. You can also view how the budget for the show started increasing over time as their initial experiments were low cost and generally done near the shop, now they have massive explosions in man made lakes and mining quarrys.I recommend this show to my friends and it is often discussed in the work place. Everyone with an interest in science, explosions and humour should be watching this show.,	5	Informative and entertaining,	02-08-2013
AL5P6IG4WZ57J	B000I8H2ZU	Faye Hollidaye Faye	Interesting and kind of educational. Though the filming isn't the best possible at all times, this is a great show for those of us who wonder about what's true and what's not. I highly recommend for everyone who's curious, and those who like scientific explanations for things.,	4	Good show,	07-07-2013
A1AU4WG25D1M1I	B000I8H2ZU	Some Guy	I've always enjoyed Mythbusters. Glad this show has gone as long as it has because I can always pull up an episode and be entertained even though I've seen most of them before.,	5	One of my favorite shows.,	12-07-2013
A3AQ6Z6SRTSIS3	B000I9S5BE	Jo Ann Winternheimer	Granddaughter, age 5, can't get enough of Blues Clues Season 1.  I must say tho that when she viewed later seasons that changed Steve's role to another guy, she didn't like it.  So she watches the seasons with the original Steve over and over.,	5	Excellent fun,	03-06-2014
A21HGY8ABK1S3B	B000I9S5BE	Louis Diana	Very instructional and cute. Both my 7 year old and 1 1/2 year old love the show! More seasons for Prime members to stream!!,	5	Great show for kids,	07-02-2013
A1KI5O2SNMVGIT	B000I9S5BE	M.G.	Such fun and so educational. Perfect show for toddler.  I love to watch the learning. Highly suggest this show for supplemental learning.,	5	Blues clues a winner,	06-10-2014
A2RM5ZSZJQL7WY	B000I9S5BE	Susan E Crangle	There are a lot of kids' shows that are super, super annoying.  This one is cheesy, but it is sweet, and I especially love Steve.  I love how this show teaches kids about deduction and gives them the chance to solve mysteries.,	5	Cheesy, but I love it anyway,	02-12-2014
AEQKBT65V9ZQ6	B000I9S5BE	Wayne E. Delong	My children love this show. I will give a great example from my four year old from last week. We come to a stop sign and she reads S T O P and says that spells stop. We were really impressed, we have been working on letters for quite a while now, but she could comprehend  stop means stop. We  asked her if she learned it in K-3. She said no she learned it on blues clues. Just a side note I know some people are going to read this and say. Well if he didn't have his kid in day care they would be smart... or something of that ilk. Our children are in a small Christian school and they didn't have enough teachers so my wife became a full time volunteer to help the kids. I'm not a fan of preschool, I do not sit in judgment of those who do. It's just a personal choice for us. Back to the show my children have learned so much from this show. hope this helps.,	5	Great great great show,	04-05-2014
ATZDDDSAMIWWL	B000I9TWV6	Amazon Customer	Our two year old loves watching Dora. If your kid loves shows like Bubble Guppies, Backyardigans, Umizoomies then this show is probably right for you.,	5	2 YR OLD LOVES DORA!,	02-02-2014
AGXO0AH7D1284	B000I9TWV6	A. Terry	I enjoyed watching Dora and Boots and  the Gang with my Granddaughter on Saturday morning.  The plot lines are simple and easy for her to understand, (she is a preschooler), and she was really engaged.  She loved being a part of the story when Dora asked her to participate.  She was so involved in what was going on.  We had a lot of fun, and we will enjoy watching it again very soon.  We love Dora!!!!,	5	My Granddaughter Loved It!!,	01-08-2014
A3CN755I6UPMR0	B000I9TWV6	Debbifaye	The little short videos is just right for her.  It helps her learn to count and limited Spanish as well as sequencing. Very helpful for learning to read.,	5	Gran Baby Loves Dora!,	05-07-2014
A3FU1Y1RC5EUIF	B000I9TWV6	Debra Kittrell	My 2 year old grand daughter loves Dora and all her friends!  It's a very positive toddler/kids show. It's also educational, fun and entertaining.,	5	Great Kids Show!,	01-03-2014
AZ0O8WAEV9J0	B000I9TWV6	exwyzee8	I like the show because you can learn Spanish words and that is good exposure for my 3 year old. The show is good for very young children but it is a very simple show.,	3	Good adventure show,	01-12-2014
A14SF5SOJBZGT2	B000I9TWV6	E. Yeager	The grandkids really love Dora the Explorer and is a very good way to learn beginning Spanish a language that they will probably need later on in life.,	4	Grandkids love it!!,	02-10-2014
A3VU9TAIPQ2LBN	B000I9TWV6	Kayla Lake	I love the ease to remember songs for my kids, and that it helps them work on their memory. It's got rally cute characters too. I so like that it teaches Spanish too,	5	Cute,	03-08-2014
A19CXQPHO9E5ZT	B000I9TWV6	Kindle Customer	My kids enjoy this show.  I like that it's got some educational value and isn't annoying for me to watch with them.,	5	Educational and entertaining,	03-06-2014
A1BX06Z8YC3RLS	B000I9TWV6	Kindle MomLKS	My girls ages 3 and 4 absolutely love Dora and they enjoy these episodes from season 2. They stream easily on the Roku.,	5	Dora Season 2,	05-04-2013
AL2TCIE6P8OS4	B000I9TWV6	Manismi	Both my sons love watching Dora. The language is appropriate for 3-5 year old kids and boots is an awesome addition to the characters.,	5	Superb,	03-01-2014
A19VJ2IQLO50G0	B000I9TWV6	melinda	This video downloaded ok. It did have to buffer it once but I'm not sure if it was my iPad or what but it did great after that, had no problems and I would recommend this video to anyone with little kids!,	4	Movie review,	04-02-2014
A1KI5O2SNMVGIT	B000I9TWV6	M.G.	My granddaughter just can't get enough of Dora. Two years old and it's perfect for her..she is learning a little bit of spanish, and the stories are a wonderful learning tool.,	5	Dora is so wonderful,	03-04-2014
A1D6UNQLQC9I1U	B000I9TWV6	mjordan	My grandsons love Dora.  I find myself watching right along with them and learning new words.  If you have a preschooler please try Dora.  She is fun and entertaining.,	5	Dora is a great teacher,	06-05-2014
AO2DZ7WIPM74U	B000I9TWV6	mom12	I don't like Dora but the kids are transfixed for 25 minutes so it allows me to get something done. I only like Dora because of learning words in other languages. otherwise, it's annoying,	3	it's dora,	09-04-2013
A2K152LG69WTK2	B000I9TWV6	patriciavonhartmann	Educational and entertaining to the grandkids. Would recommend for anyone with preschoolers. Hope to see more seasons in the future!,	5	Good learning tool for preschoolers,	10-11-2013
A24V8UJZXMAB6M	B000I9TWV6	Prentice House LEE	Good clean and colorful fun for a four old.  I can always be sure that she will be entertained as she learns about the world she lives in,	5	Fun and Educational,	04-02-2014
ARHYU0IMJFOS5	B000I9TWV6	Tracy	My granddaughters, ages 5 and 3, can not get enough of Dora.  They ask to watch it every time they visit.  We love it because this show teaches the girls so much.  Would highly recommend this to all!,	5	my granddaughters love this,	02-01-2014
ANIO9G5R8D6FF	B000I9TWV6	vtmama	My two year old loves this show. I personally find it kind of annoying, but it wasn't made for adults, was it?,	4	Great for toddlers,	10-04-2013
ADY76XRF9PZ5M	B000IBUIS0	Koury	what an episode. its episodes like this that make me realize that SG-1 isthe best scifi ever. I hope all feel the same!,	5	Amazing!,	06-09-2012
A1BZO0THZKLQE4	B000IBUIS0	Linda Sheean	Always buy this series, and am sorry that it is, as a weekly show, ending.Therefore it is good to be able to have the last season (I have all the others) as it is one of the best in the field - science fiction - apart from old faithful Star Trek. Always miss Richard Dean Anderson, that wry and handsome wit, but Shanks and Browder, let alone Claudia Black, what a terrific actor! more than make up for his loss. I always wish more of Amanda Tapping's abilities apart from sheer mathematics that she is forced by plot to come out with at least four or five times per episode could be utilized in more interesting directions, but she is the greatest also. Look forward to her in Stargate Atlantis.Stargate SG-1 season 10 is a worthy product and has been added to my collection with great satisfaction.Linda Sheean,	5	Stargate SG-1,	09-09-2007
A1ZVCVODKPED2G	B000IBUIS0	Paul A Ream Jr	Love the characters and seeing them as they develop over time. Very fun show. Episode 200 is awesome. Love it,	5	character development,	03-06-2014
ABHFDY6XU5Z3B	B000IBUIS0	S. Jackson	This is a spin off from the movie Star Gate with Kurt Russell and James Spader.  The series starts up where the movie left off.The shows were well written, and the acting was good.Of course Richard Dean Anderson gave the show its' sense of humor. Give the show a try.  Based on science fiction it was the cast that gave Stargate SG 1 a 10 year run on TV.,	4	Fun,	06-04-2014
A234PK90SOCFSF	B000IBUP6A	Christopher Beckwith	I was very pleased to find this on Criterion's pre-release list, but not surprised - it's just the sort of little-known cinematic gem that Criterion does wonders with. In fact, I've been looking for a copy of this for some time, having first seen Eddie Coyle years and years ago, the memory of the film's stark realism and mood etched in my mind like few others. This is definitive 70's Noir and a title fully worthy of a pull-out-all-the-stops release that Criterion consistently provides.  What a fine addition to the Criterion title catalogue, the choice reflecting - as usual - an impeccable sense of film history on the part of Criterion's staff.,	5	Bravo Criterion!,	04-08-2009
A1K57CP4QTYR6S	B000ICRKLM	David E. Meadows Igor	Phenomenal set of writers who seem to know how to keep the series action packed and with characters who the audience enjoy watching.  Strongly recommended for the SCI-FI junkies in the world.,	5	Finished Season 3 and on to Season 4,	05-07-2014
A1K7R1U4QZS3W2	B000ICRKLM	Donna Dreamseeker	I love this series. This is the third or fourth time through for me. The characters of John Shepherd, Tayla, Dr Weir, Ronan and Dr. Becket and Dr McKay are unforgettable. It is a wonderful space fantasy. Whenever I want to escape into another world I go to Stargate Atlantis. I imagine how cool it would be to travel to other worlds through a stargate/wormhole and meet other people who of course speak my language, English. The SG-1 series is good too and was the beginning of the Stargate series. In the beginning of Stargate Atlantis Jack O'Neil passes the torch to John Shepherd. Very cool indeed.,	5	Wonderful Space Fantasy,	10-04-2013
A3E9755POMX4K8	B000ICRKLM	gramdon	It is so good that i have watched it for a second time.  Just imagine if this were true.  Great cast.,	5	Great Show!,	01-04-2014
A2MD6815TK32I4	B000ICRKLM	OCuevas Oz	Love this show and all the stargate series shows its a shame they only got 5 seasons because there was alot more you could do with the premise.,	5	Love this show.,	05-11-2013
A1S4SG13XO9BRT	B000ICRKLM	Pamala Pickard	I really like Stargate Atlantis.  I like seeing the characters from the first Stargate series working with the current ones.,	5	Stargate Atlantis Season 3 review,	06-04-2014
AOVBJDNMWHYME	B000ICRKLM	Rotatiller	Stargate Atlantis is a fun and intertaining series. Full of action, good characters and imagination. My husband and I both really love the series.,	5	Another great Sci-fi,	01-10-2014
A2N7W5LG2F13GK	B000ICRKLM	Ruby Chrisman	This is a great sci-fi fiction show for the whole family.  We enjoy watching it.  Very glad the whole show is on prime to view.,	5	Stargate Atlantis,	04-02-2014
A253TX57EZ6HF1	B000ICRKLM	T.C.	This is the best of the three shows (SG-1, Atlantis, and Universe).  Too bad they dorked with the actors in the last 2 seasons.,	5	Best of the Stargate Series shows,	09-05-2013
A3JNY2MSXKTXZW	B000IJRK7O	Jerry D. Mills	This was my first try at rent a series which has, to me unknown actors.  Bice relationships between a few of the characters,	3	Prison,	06-01-2014
A2A6NH6DPE0VXR	B000IJRK7O	Jim Pimmy	From beginning to end of season 2 Michael Scofield (Wentworth Miller) and his brother Lincoln Burrows (Dominic Purcell) are on the run from the police and government agents that want them dead. The other convicts lives are on the line as well since all of them have been ordered to be killed. They also want Dr. Sara Tancredi (Sarah Wayne Callies) dead or anyone else who has tried to help Scofield and his brother. To show that these guys aren't messing around, season 1 regular Veronica (Robin Tunney) is killed violenty at the end of the first episode of this season.William Fichtner plays Agent Alexander Mahone who we think just wants to catch them but it later turns out that he has been ordered to kill them. Plus that's not all that makes this guy a threat....he's extremely smart and always seems to know what Scofield's next move is going to be. Which is another thing that makes this season so thrilling. You never really know what this guy is going to do next or who he's going to find next. I was hoping he'd...	4	A Non-Stop Edge of Your Seat Season!,	05-12-2007
A1ATHDILELXROF	B000IJRK7O	Renee L Williams	It was interesting how the roles became reversed.  Michael is now the prisoner in one of the worst prisons possible and the brother is now the free man.  Talk about twist of fate.  I was excited to see T-bag back in the second season.  He's a mean, rotten man, but somehow he just grows on you.  You kind of believe there's some good in there, some where.,	5	Terrific as the first season.  You definitely want to get it.,	04-04-2014
A332YTFFMDEY0Q	B000IJRK7O	shopnshel	Love this show. Plenty of twists and turns.really good, great cast and acting. Lots of great guest stars to keep it fun and interesting.,	5	Great show,	05-01-2013
A1HKBX2L0DV258	B000IK882Y	Dena Leasure	The Bones tv series is a great show.  David Boreanaz and Emily Deschanel work so good together and even though it is a crime drama, there are also plenty of light moments that will make you laugh.  I love it and hope this series goes on for many more seasons.,	5	Bones,	12-01-2009
A1JR65ST3K320A	B000IK882Y	Ed Joines	I think Bones is a very good show. I love all the characters and the chemistry between all of them is fun to watch.,	5	Very Good show,	06-03-2013
